step,mean reward,std reward
10000,6.752486,15.597193265987887
30000,14.616382900000001,32.625430443517196
50000,14.988730600000002,14.197437099134275
110000,15.315069099999999,12.179155344302153
120000,17.8416834,14.994623205510324
140000,18.5132706,12.57866908706512
150000,30.3322032,10.445433740899224
